,tinh,huyen,xa,diaban,hoso,matv,age,male,married,yoeduc,income,sector
21367,56,572,22528,6,14,1,46,1,1,14,42174,StateRun
21831,58,586,22852,12,13,5,22,0,0,8,9612,StateRun
2568,4,53,1789,4,14,3,20,1,0,12,7562,HomeBusiness
13303,36,359,13780,20,14,2,37,0,0,3,6899,HomeBusiness
27088,75,731,26005,28,14,2,30,0,1,12,77862,Private
26615,74,720,25804,3,13,2,50,0,1,7,36627,FarmForestAqua
26770,74,723,25891,39,15,1,18,0,0,7,35032,Foreign
770,1,18,553,14,19,3,29,1,1,12,25285,Private
29260,79,777,27445,91,20,3,18,1,0,10,28585,HomeBusiness
33357,89,889,30466,23,15,2,45,1,1,4,14904,HomeBusiness
24953,68,672,24784,6,15,3,40,1,0,10,11248,Private
28663,79,765,26929,10,15,2,31,0,1,14,19181,StateRun
33198,89,886,30367,11,14,2,28,0,1,0,9996,FarmForestAqua
20340,52,548,21877,4,15,1,40,0,0,0,5614,Private
25600,70,691,25240,16,14,2,30,0,1,12,45077,StateRun
30928,83,832,28885,29,14,2,51,1,1,6,15281,FarmForestAqua
35479,94,942,31594,5,19,4,16,0,0,6,15640,FarmForestAqua
26073,72,706,25525,10,19,3,35,0,0,0,7610,FarmForestAqua
11333,31,312,11593,12,15,2,33,0,1,16,22045,StateRun
19697,51,532,21364,7,13,2,25,0,1,6,6572,HomeBusiness
21149,56,568,22384,17,15,3,22,1,0,6,5482,FarmForestAqua
5946,17,151,4915,10,13,3,24,1,0,9,12960,Private
6131,17,155,5158,7,19,3,33,1,1,5,12000,HomeBusiness
36770,96,969,32141,14,13,1,48,0,0,2,8427,FarmForestAqua
28556,79,764,26881,4,13,7,48,0,1,9,34756,Private
21925,58,587,22879,10,15,4,32,1,1,2,5589,FarmForestAqua
20276,52,547,21823,18,14,1,43,1,1,9,17980,HomeBusiness
28377,79,760,26752,7,20,3,28,1,0,16,247974,Foreign
8783,25,233,8260,5,15,3,28,1,0,14,20820,StateRun
8881,25,235,8383,6,20,1,35,1,1,5,9600,HomeBusiness
20196,52,545,21748,5,14,1,43,1,1,7,14425,Private
27316,75,732,26104,13,14,4,34,0,1,9,42231,FarmForestAqua
27589,75,738,26314,22,15,1,42,1,1,1,20602,HomeBusiness
24905,68,672,24769,7,15,4,23,1,0,12,26555,HomeBusiness
26577,74,720,25789,1,20,4,15,1,0,5,24750,FarmForestAqua
9736,27,256,9184,10,14,1,42,1,1,12,59406,StateRun
9555,26,252,9085,4,13,3,19,1,0,9,14000,FarmForestAqua
1423,1,277,10090,7,15,3,22,1,0,12,25031,Private
20019,52,542,21613,5,13,2,27,1,1,1,14830,FarmForestAqua
3998,11,96,3169,5,15,2,27,0,1,12,36357,StateRun
29347,79,783,27514,5,15,3,24,0,0,12,3638,Foreign
13994,37,373,14479,9,15,4,23,0,0,9,21849,Private
22155,60,594,23231,16,13,3,30,0,1,16,30760,StateRun
34582,92,917,31162,46,14,2,38,1,1,10,52400,Private
26610,74,720,25798,8,15,2,30,0,1,16,20588,StateRun
14866,38,398,15796,5,19,1,61,1,1,9,5768,Collective
36438,95,961,31933,22,15,4,21,0,0,7,13368,Private
22612,60,601,23242,10,14,4,20,1,0,6,9800,FarmForestAqua
13031,35,352,13555,12,13,1,32,0,1,12,18662,StateRun
2927,6,65,2098,4,14,1,31,1,1,6,9769,FarmForestAqua
27771,75,741,26449,43,13,4,23,1,0,11,27711,Private
7811,22,206,7138,3,13,1,27,1,1,9,91500,Private
1097,1,271,9691,3,14,1,38,1,0,9,10107,Private
25820,70,695,25363,3,19,4,17,1,0,3,23158,HomeBusiness
13572,36,363,14044,21,19,1,72,1,1,16,6643,StateRun
24606,67,662,24655,5,15,5,20,1,0,5,13111,FarmForestAqua
24908,68,672,24769,7,15,1,51,1,1,12,24784,FarmForestAqua
3196,8,74,2374,10,13,2,50,0,1,16,49168,StateRun
31920,86,857,29587,13,13,2,31,0,1,6,1310,HomeBusiness
36405,95,961,31918,7,14,3,23,0,0,12,24606,StateRun
30728,82,823,28687,4,14,5,15,0,0,8,1782,HomeBusiness
15351,40,413,16732,3,15,2,40,0,1,12,17143,Private
21435,56,572,22564,9,15,2,44,0,1,14,55428,StateRun
21339,56,571,22507,5,15,3,28,0,0,12,25883,StateRun
33363,89,889,30469,40,14,2,38,1,1,3,11690,FarmForestAqua
28438,79,762,26797,82,19,2,31,1,1,12,10103,Foreign
27581,75,738,26314,22,13,1,50,1,1,9,56748,StateRun
8517,24,223,7879,21,13,3,27,1,1,9,12049,HomeBusiness
19365,51,522,21010,2,15,2,54,0,1,7,28512,HomeBusiness
14295,38,380,14764,6,15,2,52,1,1,16,40758,StateRun
6439,19,165,5512,12,14,2,54,1,1,12,21309,StateRun
20830,54,561,22222,1,20,1,26,0,1,12,9215,StateRun
6278,17,158,5353,7,14,2,37,0,1,16,31400,StateRun
7795,22,205,7123,7,14,2,39,0,1,9,33520,Private
10547,30,294,10813,15,13,1,50,1,1,12,13371,HomeBusiness
31723,84,848,29458,8,13,1,43,1,1,5,11242,Private
25479,70,688,25217,2,15,2,51,0,1,16,63468,StateRun
11142,31,307,11446,15,13,2,48,1,1,16,90847,StateRun
21669,58,582,22759,2,14,1,44,0,1,12,21138,Collective
27458,75,736,26218,9,14,5,29,1,1,16,42240,StateRun
35824,94,950,31786,19,13,1,28,1,1,6,25658,Private
21699,58,582,22771,17,13,1,46,1,1,10,21789,FarmForestAqua
25881,70,696,25402,9,13,3,22,0,0,9,23631,StateRun
30060,80,807,28162,1,14,4,17,1,0,10,20521,HomeBusiness
27360,75,734,26131,19,20,1,54,0,1,0,5767,FarmForestAqua
28803,79,767,27028,51,13,1,43,1,1,16,74243,StateRun
10433,30,292,10675,6,13,1,33,1,1,9,38314,HomeBusiness
20512,52,550,21985,27,13,2,29,0,1,11,25372,Private
26960,74,725,25963,46,15,1,50,0,0,5,23621,HomeBusiness
18750,49,503,20413,3,14,4,30,1,0,0,15521,HomeBusiness
34050,91,905,30893,2,15,2,38,0,1,0,22113,HomeBusiness
23106,64,622,23557,22,13,3,25,1,0,12,30451,StateRun
20334,52,548,21877,4,13,3,19,0,0,7,15623,Private
8010,24,217,7375,1,13,2,24,1,0,16,54724,Private
29509,79,785,27634,4,15,2,26,1,1,5,30508,HomeBusiness
18325,48,492,20227,12,13,1,51,0,1,18,131028,StateRun
18573,48,494,20285,10,15,3,36,0,1,12,36860,Private
11330,31,312,11593,12,14,2,26,0,1,9,25361,Private
22738,62,608,23305,3,13,6,20,1,0,9,15392,HomeBusiness
32309,86,863,29785,7,13,4,23,0,1,9,6052,FarmForestAqua
30834,83,829,28792,16,14,2,50,0,1,0,21557,HomeBusiness
31266,83,837,29221,7,13,3,26,1,0,7,20880,FarmForestAqua
197,1,4,148,6,13,1,52,1,1,16,78020,StateRun
29628,80,797,27760,2,15,3,16,1,0,6,17105,FarmForestAqua
31586,84,847,29374,2,19,1,41,1,1,0,6290,FarmForestAqua
10838,30,299,11209,6,13,5,27,1,1,9,34482,HomeBusiness
33698,89,893,30670,15,15,3,18,1,0,8,20031,HomeBusiness
34528,92,917,31154,10,14,3,19,0,0,8,18831,HomeBusiness
21695,58,582,22768,17,15,3,13,0,0,0,2845,HomeBusiness
22626,60,601,23254,14,14,1,35,1,1,5,43200,FarmForestAqua
33183,89,886,30355,16,14,2,27,0,0,0,893,FarmForestAqua
1580,1,281,10408,2,15,3,20,1,0,11,1805,StateRun
10071,27,262,9409,1,13,2,42,0,1,7,5799,HomeBusiness
30814,83,829,28777,4,14,3,29,0,1,9,25624,Private
12857,35,350,13414,8,19,3,27,1,1,9,6768,HomeBusiness
16704,44,450,18859,31,14,1,53,0,0,12,17421,StateRun
22874,62,611,23395,4,15,4,27,0,1,14,29308,StateRun
10096,27,262,9415,9,15,1,39,1,1,12,11558,Private
9425,26,249,8950,4,13,1,46,1,1,12,8260,Private
12160,34,336,13108,10,14,1,51,1,1,9,26596,HomeBusiness
15649,40,421,17200,13,15,1,46,1,1,5,21616,FarmForestAqua
29964,80,805,28096,10,13,2,46,0,1,12,18051,Private
15055,38,403,16249,13,13,1,34,1,1,5,8415,FarmForestAqua
20306,52,548,21862,1,13,8,22,1,1,6,27159,FarmForestAqua
19137,49,513,20806,5,15,2,40,0,1,8,1481,HomeBusiness
20949,54,564,22243,7,13,2,28,0,1,12,19000,Private
16790,44,453,18973,8,13,3,34,1,0,3,16351,Private
22613,60,601,23242,10,14,3,22,1,0,6,12500,FarmForestAqua
2613,6,58,1840,1,13,4,32,0,1,9,13394,StateRun
28764,79,767,27013,17,19,1,56,1,1,16,295899,Private
28153,77,751,26641,1,15,1,48,1,1,9,44300,StateRun
23954,66,646,24211,1,13,1,44,1,1,9,14540,StateRun
13859,37,370,14362,10,13,1,54,1,1,12,64728,Private
36449,96,964,31999,17,19,3,27,1,1,12,21684,StateRun
20602,54,555,22048,6,13,1,41,0,1,7,37449,HomeBusiness
12518,34,342,13042,16,15,2,30,0,1,3,23843,HomeBusiness
22969,62,615,23500,17,14,4,24,1,0,12,6349,FarmForestAqua
33871,91,900,30772,2,14,2,23,1,1,7,18289,FarmForestAqua
21196,56,569,22417,15,13,2,31,0,1,16,46445,StateRun
14059,37,374,14551,5,13,1,52,1,1,9,12753,Collective
22226,60,595,22990,9,15,1,53,1,1,5,8000,FarmForestAqua
30536,82,821,28525,4,14,3,16,1,0,9,8611,HomeBusiness
3034,8,70,2206,29,15,4,28,1,1,11,26444,Private
29446,79,784,27592,34,13,4,34,0,0,6,11818,HomeBusiness
21623,58,582,22741,26,15,1,47,0,1,16,54529,StateRun
26687,74,721,25846,23,15,2,20,1,0,11,17816,Foreign
33806,91,899,30739,14,15,1,25,1,1,4,32403,HomeBusiness
33069,89,883,30301,5,15,1,44,1,1,1,21226,Private
28861,79,768,27070,5,20,1,43,1,1,16,369589,Private
11208,31,311,11485,11,13,3,28,1,1,12,36910,Private
25178,68,677,24934,15,13,1,50,0,0,0,23105,HomeBusiness
28119,77,751,26623,5,13,2,30,0,0,2,22926,FarmForestAqua
25515,70,689,25201,6,20,3,26,1,0,11,15053,HomeBusiness
26675,74,721,25840,10,13,1,27,0,0,7,46153,Foreign
31832,84,850,29524,3,15,3,18,1,0,5,11426,StateRun
12549,34,343,13093,3,14,1,44,1,1,9,57012,Private
28572,79,764,26882,23,20,1,61,0,1,9,82578,Private
7655,22,201,6943,6,13,1,44,1,1,9,24000,HomeBusiness
7988,24,216,7348,8,13,3,27,1,0,5,33803,HomeBusiness
14244,37,377,14737,2,13,2,23,1,0,12,1708,Private
21935,58,587,22882,11,14,7,17,1,0,9,8065,HomeBusiness
16810,44,453,19000,7,14,1,42,1,1,9,8198,HomeBusiness
19438,51,524,21076,2,13,3,25,1,0,7,20240,FarmForestAqua
23851,66,643,24172,14,15,2,37,0,1,11,15000,FarmForestAqua
14516,38,390,15130,5,13,1,50,0,1,14,52296,StateRun
29896,80,803,28024,2,14,1,38,1,0,6,28492,HomeBusiness
27764,75,741,26446,29,14,5,12,0,0,6,1482,HomeBusiness
7395,22,193,6706,10,15,1,44,1,1,9,37000,StateRun
29503,79,785,27634,4,13,3,16,0,0,8,30598,Private
5028,14,120,3808,3,13,1,35,0,1,14,30042,StateRun
17199,45,461,19348,11,14,3,37,1,1,16,42116,StateRun
11688,33,326,12034,5,14,1,57,1,1,16,55079,StateRun
14547,38,390,15169,11,15,4,14,0,0,8,8404,HomeBusiness
4692,12,109,3549,3,15,3,23,0,0,12,37617,StateRun
2259,4,43,1321,1,14,1,31,0,1,14,55398,StateRun
27597,75,738,26326,9,13,5,21,0,1,12,29550,Foreign
554,1,9,361,17,15,1,56,1,1,16,51974,Private
9438,26,249,8950,4,19,2,43,0,1,9,15401,Foreign
10094,27,262,9415,9,15,2,39,0,1,9,12800,Private
18197,48,490,20197,3,19,2,52,0,1,12,33400,Private
5130,14,122,3907,8,15,2,43,0,1,14,39175,StateRun
26424,72,712,25729,9,14,1,48,1,1,0,48308,HomeBusiness
15304,40,412,16675,16,15,1,33,1,1,12,30489,StateRun
17671,46,474,19774,19,14,1,49,1,1,11,8352,HomeBusiness
15683,40,423,17266,5,13,2,35,0,1,14,37569,StateRun
10252,30,288,10513,32,14,3,30,1,1,16,55561,Private
12922,35,351,13477,3,15,2,28,0,1,9,1215,HomeBusiness
35982,95,954,31819,27,15,5,21,0,1,4,17704,Private
28793,79,767,27025,64,13,3,27,1,1,8,16823,Private
22186,60,595,22969,10,15,1,40,1,1,1,25265,FarmForestAqua
11732,33,327,12058,3,13,2,38,0,1,9,19270,Foreign
7985,24,216,7339,6,15,1,55,1,1,12,6182,StateRun
28029,77,748,26569,14,13,2,34,1,1,5,28800,HomeBusiness
28864,79,769,27088,7,13,2,29,0,1,12,60754,Private
13991,37,373,14479,9,14,1,63,1,1,9,12148,HomeBusiness
9961,27,260,9355,3,13,1,49,1,1,9,11709,HomeBusiness
14294,38,380,14764,6,15,1,60,0,1,12,45198,Private
22382,60,597,23092,1,15,2,35,1,1,4,28000,HomeBusiness
8669,25,231,8077,1,13,3,20,1,0,12,11900,StateRun
34673,92,923,31210,14,15,3,32,1,0,0,15810,Private
25853,70,695,25390,5,13,5,25,1,0,9,10802,HomeBusiness
11617,33,323,11980,9,20,1,39,1,1,6,21374,HomeBusiness
32963,87,877,30247,10,19,1,43,1,1,12,19490,StateRun
22073,60,593,22918,2,15,2,18,0,0,8,22100,HomeBusiness
33694,89,893,30670,15,14,3,18,1,0,9,33482,HomeBusiness
11086,31,305,11404,58,15,5,28,0,1,16,58196,StateRun
18899,49,507,20560,7,15,2,40,0,1,12,39437,StateRun
21118,56,568,22372,13,15,2,41,0,1,16,79316,StateRun
18428,48,492,20248,15,15,1,46,1,1,9,56200,StateRun
7924,24,216,7297,5,13,3,25,0,1,16,36451,StateRun
24790,67,665,24727,16,14,2,29,0,1,0,3271,FarmForestAqua
26304,72,710,25660,31,14,3,28,0,1,10,19275,Foreign
30730,82,823,28687,4,14,3,24,0,0,4,1782,HomeBusiness
22025,58,589,22897,3,14,2,36,0,1,5,7561,FarmForestAqua
8963,25,237,8498,15,15,5,29,0,1,16,22900,StateRun
8343,24,221,7708,1,14,5,23,0,1,9,9279,Foreign
30623,82,822,28594,2,19,1,40,1,1,9,84146,Private
21497,56,572,22597,10,15,1,28,1,1,5,29024,FarmForestAqua
17366,45,466,19496,4,15,3,32,1,0,7,25748,FarmForestAqua
29579,80,794,27703,8,14,4,28,0,1,8,25651,Private
7646,22,201,6922,2,14,1,52,1,1,12,49118,StateRun
30786,82,825,28696,1,13,1,35,1,1,5,8809,HomeBusiness
19504,51,527,21178,8,13,2,35,0,1,16,36151,StateRun
35286,93,936,31471,12,13,1,52,1,1,16,41971,StateRun
5309,14,125,4126,15,14,1,30,1,1,9,19393,Private
16520,42,445,18595,7,14,1,46,1,1,12,13822,HomeBusiness
34844,92,926,31300,10,14,2,41,0,1,11,10325,HomeBusiness
29504,79,785,27634,4,13,1,40,1,1,6,41706,HomeBusiness
35808,94,949,31780,15,19,3,40,0,0,12,34019,StateRun
33538,89,892,30595,6,13,3,33,1,1,2,12359,FarmForestAqua
13080,35,353,13588,6,15,1,38,1,1,9,16237,HomeBusiness
4003,11,97,3172,1,15,1,63,0,0,12,27773,Private
14133,37,375,14608,8,15,4,22,1,0,9,11672,HomeBusiness
21436,56,572,22573,3,13,5,30,0,1,5,18140,HomeBusiness
33334,89,888,30451,29,14,5,27,1,0,16,26360,StateRun
10277,30,288,10531,42,13,2,35,1,1,16,24176,StateRun
10320,30,290,10546,25,14,1,46,0,1,9,76205,StateRun
12052,33,332,12364,3,15,2,47,0,1,12,1455,HomeBusiness
271,1,6,187,10,13,3,25,0,0,16,36168,Private
26860,74,723,25936,1,13,3,18,0,0,9,36242,Private
18680,48,497,20326,16,13,1,40,1,1,9,37700,HomeBusiness
20744,54,559,22147,1,13,4,26,1,0,12,10094,StateRun
26367,72,711,25681,3,13,1,42,0,0,4,10354,FarmForestAqua
14904,38,399,15916,4,20,3,35,0,0,10,16008,Private
540,1,9,349,7,19,1,55,1,1,23,144645,StateRun
245,1,5,172,36,13,2,47,1,1,12,113770,Private
15146,38,405,16405,2,15,4,23,0,0,8,13460,HomeBusiness
13326,36,360,13798,11,14,1,41,1,1,9,19877,HomeBusiness
35481,94,942,31594,5,19,2,58,0,1,0,15640,FarmForestAqua
13905,37,372,14398,6,14,3,26,1,1,9,15669,HomeBusiness
28916,79,770,27154,20,13,2,47,1,0,10,35933,Private
14572,38,391,15199,9,15,3,18,1,0,12,7224,FarmForestAqua
26403,72,712,25717,7,15,4,19,0,0,12,18510,Foreign
29051,79,773,27295,14,20,1,41,1,1,9,42410,StateRun
2469,4,49,1606,5,14,1,30,1,1,7,9982,HomeBusiness
21994,58,588,22849,5,14,8,18,0,1,3,504,HomeBusiness
36633,96,967,32092,16,14,3,18,1,0,10,1801,Private
10643,30,295,10936,1,15,1,39,1,1,9,20543,HomeBusiness
29407,79,784,27565,6,13,2,52,1,0,6,4635,Private
1054,1,271,9631,1,14,2,49,0,1,9,21182,Private
20641,54,557,22053,26,15,2,27,0,1,14,28778,StateRun
1323,1,276,9985,13,14,2,28,0,1,9,9492,HomeBusiness
31059,83,834,29020,11,15,3,18,1,0,8,6291,FarmForestAqua
15085,38,404,16279,6,14,2,24,0,0,8,9165,HomeBusiness
13986,37,373,14479,9,13,2,37,0,1,16,50459,StateRun
33387,89,889,30475,20,14,7,29,0,1,2,4828,FarmForestAqua
22556,60,600,23206,6,13,3,17,0,0,8,8900,HomeBusiness
9742,27,256,9244,6,13,1,42,1,1,9,8163,StateRun
12567,34,343,13129,1,14,1,56,1,1,9,12163,HomeBusiness
12108,34,336,12433,12,13,1,58,1,1,12,3420,StateRun
29668,80,798,27817,1,13,3,20,1,0,9,13594,Private
713,1,17,493,32,13,1,23,0,1,12,27630,Foreign
5184,14,123,3979,5,15,3,25,0,0,16,35658,StateRun
13526,36,362,14011,3,15,1,27,0,1,14,16521,StateRun
24038,66,648,24280,11,13,4,26,0,1,14,29450,StateRun
22693,62,608,23287,3,14,1,55,0,1,16,25524,StateRun
11356,31,312,11626,6,13,3,21,0,0,12,20144,Private
26816,74,723,25915,6,19,1,41,1,1,8,7922,HomeBusiness
36911,96,971,32194,3,20,3,17,0,0,1,11696,FarmForestAqua
263,1,6,178,8,14,1,51,1,1,14,99333,StateRun
26551,74,718,25771,16,15,3,19,0,0,12,3637,Private
4882,14,116,3655,15,14,2,52,0,1,12,53404,StateRun
12350,34,340,12733,1,15,1,40,1,1,9,29163,HomeBusiness
34586,92,918,31168,12,13,2,39,1,1,6,23400,HomeBusiness
26771,74,723,25891,39,20,1,30,1,0,9,46307,Private
27952,77,747,26535,28,15,3,35,0,1,9,24000,HomeBusiness
30454,82,820,28450,15,15,2,41,0,1,5,3959,FarmForestAqua
9726,27,256,9184,10,13,7,36,0,0,9,6032,HomeBusiness
27660,75,740,26368,14,13,2,23,0,1,12,28325,Foreign
27045,75,731,25996,47,15,2,21,0,0,9,45930,Private
32375,87,866,29878,9,14,3,36,1,1,16,31243,StateRun
9667,26,253,8818,3,13,1,37,1,1,16,36000,StateRun
5960,17,152,4924,23,13,2,53,0,1,16,51926,StateRun
23184,64,622,23586,8,13,2,40,0,1,8,1576,HomeBusiness
19230,49,515,20914,8,14,4,22,1,0,9,9766,HomeBusiness
26091,72,706,25534,1,19,3,39,1,1,5,24394,FarmForestAqua
33943,91,903,30832,31,14,2,27,0,1,5,12959,FarmForestAqua
7740,22,205,7069,73,19,4,27,1,0,12,30400,HomeBusiness
22272,60,596,23032,27,14,3,25,1,0,0,15400,FarmForestAqua
30760,82,824,28732,12,14,2,30,0,1,0,6008,HomeBusiness
34829,92,925,31274,7,15,5,22,1,0,6,18000,HomeBusiness
34187,91,907,30961,3,15,2,23,1,1,5,13620,FarmForestAqua
13319,36,360,13795,13,19,2,46,0,1,9,4588,HomeBusiness
4234,11,100,3334,9,15,2,39,0,1,16,42535,StateRun
684,1,17,472,20,13,3,26,1,0,12,33546,Foreign
601,1,16,397,2,14,3,27,0,1,12,28833,Private
9333,26,247,8893,14,13,3,25,1,1,12,46000,Private
8914,25,236,8461,3,13,1,44,1,1,9,24000,FarmForestAqua
27724,75,741,26425,12,14,3,17,1,0,6,16136,StateRun
33472,89,890,30532,7,13,4,29,0,1,7,4633,FarmForestAqua
13264,36,359,13744,6,13,3,16,0,0,9,7200,Private
10778,30,298,11128,2,15,1,26,0,1,9,24903,Foreign
26656,74,721,25828,16,14,2,38,0,1,14,48126,StateRun
13732,36,366,14218,9,15,1,32,1,1,12,19593,StateRun
11695,33,326,12040,1,13,2,45,0,1,12,23898,StateRun
3668,10,85,2890,4,13,2,48,1,1,0,8667,HomeBusiness
26216,72,708,25624,2,13,4,25,1,0,12,7829,StateRun
8819,25,234,8299,8,14,5,17,1,0,5,7200,HomeBusiness
10774,30,298,11128,2,13,1,29,0,1,9,9529,Foreign
11094,31,305,11407,23,15,2,37,0,1,12,9475,HomeBusiness
24339,66,654,24526,13,15,2,22,0,1,8,7920,FarmForestAqua
12433,34,341,12895,2,13,2,32,0,1,14,50918,StateRun
18863,49,506,20524,4,15,2,32,0,1,6,8729,HomeBusiness
9506,26,251,9052,7,13,1,32,1,1,9,20048,HomeBusiness
11389,31,313,11653,4,15,5,22,0,1,9,27389,Foreign
9800,27,258,9202,20,15,1,40,1,1,12,17977,HomeBusiness
17085,44,457,19246,12,14,1,53,1,1,9,28390,StateRun
5126,14,122,3907,8,14,2,41,0,1,12,47447,StateRun
24130,66,651,24373,1,13,2,17,0,0,8,13538,HomeBusiness
17221,45,462,19358,1,14,5,22,0,1,9,15486,HomeBusiness
11587,33,323,11950,4,15,1,46,1,1,9,8010,StateRun
4828,12,111,3598,19,13,3,18,1,0,9,9897,HomeBusiness
25264,68,678,24989,4,13,2,49,0,1,2,11145,FarmForestAqua
72,1,1,34,25,15,2,32,0,1,12,18506,Private
30420,82,819,28432,14,15,4,16,0,0,6,12984,HomeBusiness
29749,80,800,27877,6,20,3,21,0,0,12,6078,StateRun
6083,17,154,5119,6,13,1,43,1,1,3,18000,FarmForestAqua
34443,92,916,31123,23,13,5,30,1,1,18,49346,StateRun
294,1,6,190,39,20,3,24,1,0,16,46166,Private
26438,72,712,25732,38,15,2,32,0,1,8,28101,Foreign
26399,72,712,25717,7,14,2,51,0,1,14,41295,StateRun
1003,1,268,9562,26,15,3,29,1,1,8,43334,Private
19626,51,528,21268,21,15,2,64,0,1,5,7935,HomeBusiness
25695,70,692,25280,7,15,4,24,0,1,14,35512,Private
9252,26,246,8794,9,15,1,39,1,1,9,26500,HomeBusiness
18597,48,495,20260,18,14,1,30,0,1,16,26100,StateRun
22785,62,608,23326,14,15,1,30,0,1,0,30515,StateRun
34622,92,918,31180,31,15,2,24,1,0,5,24000,HomeBusiness
31530,84,846,29341,8,13,2,40,1,1,3,8901,FarmForestAqua
32321,86,863,29794,9,13,1,34,1,1,5,9931,HomeBusiness
19537,51,527,21196,10,15,2,40,1,1,9,25405,HomeBusiness
32291,86,862,29854,23,14,1,60,1,1,3,36722,HomeBusiness
665,1,17,454,27,14,2,35,0,1,10,21210,StateRun
18261,48,491,20215,4,14,3,38,1,1,9,23000,Private
31845,86,855,29545,4,13,1,48,1,1,16,72122,Private
23043,62,616,23534,7,13,3,39,0,1,9,9777,FarmForestAqua
11593,33,323,11959,4,15,1,28,0,0,12,30744,StateRun
30761,82,824,28732,12,14,1,31,1,1,1,7374,FarmForestAqua
31022,83,834,28993,4,13,1,44,1,1,12,30112,StateRun
6355,19,164,5446,34,14,1,43,1,1,12,30310,StateRun
18561,48,494,20284,22,14,1,44,1,1,14,86000,Private
23329,64,626,23707,15,15,1,28,1,1,0,19536,FarmForestAqua
29511,79,785,27634,4,15,3,19,1,0,8,36368,HomeBusiness
28887,79,769,27109,22,19,1,38,1,1,9,30489,Private
26459,74,718,25741,34,14,2,27,1,1,16,81238,Private
26058,72,705,25513,8,13,2,35,0,1,1,6296,FarmForestAqua
35115,93,934,31399,19,14,2,23,0,1,2,4614,FarmForestAqua
9787,27,258,9199,8,19,4,21,0,0,12,16402,StateRun
32427,87,867,29911,35,13,5,28,1,1,9,27658,HomeBusiness
25266,68,678,24989,4,14,2,30,0,1,0,13261,FarmForestAqua
22379,60,597,23092,1,14,1,38,0,1,1,7200,FarmForestAqua
30012,80,806,28135,8,14,4,20,0,0,9,33825,Private
11928,33,330,12247,1,14,1,47,1,1,12,31986,Private
8383,24,222,7756,8,14,3,27,0,0,12,6972,Private
9949,27,260,9343,14,14,2,31,0,1,12,22306,Private
18191,48,490,20197,3,13,3,28,1,1,9,11000,StateRun
28316,77,754,26719,19,13,1,51,1,1,6,14400,FarmForestAqua
27780,75,741,26449,43,15,1,33,1,1,14,32222,StateRun
7743,22,205,7072,15,13,3,29,0,0,12,14700,StateRun
13237,36,356,13696,9,15,2,22,0,1,7,17293,HomeBusiness
12696,35,347,13288,16,15,2,31,1,1,7,26055,HomeBusiness
30569,82,821,28546,10,15,1,46,1,1,6,26137,HomeBusiness
26466,74,718,25744,20,13,3,27,1,0,16,43763,Private
10884,30,300,11269,13,13,1,32,1,1,9,25256,HomeBusiness
32816,87,874,30166,3,13,1,40,1,1,4,7404,FarmForestAqua
2801,6,63,1969,1,15,2,30,0,1,16,34173,StateRun
21426,56,572,22564,9,13,2,41,1,0,0,11175,Collective
13989,37,373,14479,9,14,3,25,0,0,12,25719,StateRun
7823,22,206,7138,3,15,6,24,0,1,9,21120,HomeBusiness
26916,74,724,25948,12,19,2,26,0,1,6,31863,Private
5425,15,132,4249,16,14,1,49,0,1,12,52266,StateRun
12853,35,350,13414,8,19,1,52,1,1,1,7614,HomeBusiness
25227,68,678,24964,2,14,5,19,1,0,0,9606,FarmForestAqua
10033,27,261,9385,11,15,1,52,1,1,12,18037,Private
11782,33,327,12097,3,14,1,52,1,1,7,25535,HomeBusiness
27930,77,747,26533,25,13,1,55,1,1,9,105728,StateRun
15082,38,404,16279,6,13,1,35,1,1,9,26396,HomeBusiness
29875,80,803,28003,11,13,1,31,0,0,9,12157,HomeBusiness
30687,82,822,28648,10,15,1,47,1,0,0,6882,FarmForestAqua
10085,27,262,9415,9,13,1,46,0,0,9,13390,HomeBusiness
28082,77,750,26596,12,13,2,27,0,0,14,35140,StateRun
29152,79,776,27391,29,14,1,21,1,0,14,45731,Private
27674,75,740,26386,9,14,3,28,0,1,10,42447,Foreign
36443,96,964,31999,17,15,5,14,0,0,6,702,HomeBusiness
6120,17,155,5158,7,13,5,26,0,1,6,7150,FarmForestAqua
8845,25,235,8341,11,13,2,34,0,1,14,38900,StateRun
19844,51,534,21451,20,15,3,35,0,1,10,17392,HomeBusiness
12954,35,351,13498,9,14,3,25,1,1,9,31463,HomeBusiness
27224,75,731,26053,18,13,4,48,0,0,12,37697,StateRun
24071,66,648,24301,8,14,1,45,1,1,14,48700,StateRun
18085,46,482,20107,18,13,2,60,0,1,5,24325,FarmForestAqua
18402,48,492,20245,12,15,1,45,1,1,16,87619,Private
11574,31,317,11929,1,15,1,51,1,1,16,86399,StateRun
6425,19,164,5494,10,15,1,37,1,1,9,31691,Private
29224,79,777,27436,23,14,2,34,0,1,14,58950,StateRun
32683,87,873,30088,30,15,4,24,0,1,8,11225,Private
32814,87,874,30166,3,13,3,16,1,0,4,7712,FarmForestAqua
8045,24,217,7405,6,14,3,24,1,0,9,9578,HomeBusiness
458,1,8,307,54,20,3,31,1,1,16,118986,StateRun
859,1,19,628,19,15,2,30,0,1,16,48191,StateRun
34957,93,930,31330,11,15,2,34,0,1,9,15540,Private
12081,33,333,12400,9,14,1,37,1,1,9,11233,HomeBusiness
