,tinh,huyen,xa,diaban,hoso,matv,age,male,married,yoeduc,income,sector
15882,40,426,17584,2,13,1,42,1,1,9,24774,HomeBusiness
4479,12,107,3448,9,13,1,43,1,1,7,26657,StateRun
8681,25,231,8098,1,14,1,43,1,1,16,21635,StateRun
18330,48,492,20227,12,15,2,44,1,1,16,194352,Private
2879,6,64,2053,1,13,1,42,1,1,2,4188,Collective
34025,91,905,30883,2,20,6,17,1,0,2,10806,FarmForestAqua
28880,79,769,27109,22,13,1,29,1,1,12,50346,StateRun
4892,14,116,3679,7,15,2,37,0,1,9,22750,StateRun
26898,74,724,25945,18,13,2,31,0,1,2,33870,Foreign
21000,54,564,22279,29,14,1,51,1,1,5,7200,StateRun
11546,31,316,11899,2,15,3,30,1,0,12,19811,HomeBusiness
10442,30,292,10675,6,15,1,49,1,1,9,24126,StateRun
766,1,18,553,14,15,1,48,1,1,9,24956,HomeBusiness
28245,77,752,26674,21,13,1,57,0,0,7,12600,HomeBusiness
16841,44,454,19036,9,13,2,36,1,1,11,25906,FarmForestAqua
33653,89,893,30652,36,13,2,60,0,1,8,11121,HomeBusiness
7529,22,196,6808,8,15,2,39,0,1,12,23400,StateRun
10301,30,288,10669,1,14,1,35,1,1,12,24917,HomeBusiness
26694,74,721,25849,16,14,2,34,0,1,7,35741,Foreign
14309,38,380,14776,15,14,1,45,1,1,18,65993,StateRun
36526,96,964,32032,6,19,2,20,0,1,8,26472,Collective
5761,15,140,4672,5,20,1,31,1,1,9,23202,FarmForestAqua
4006,11,97,3175,1,13,1,30,1,1,14,35127,StateRun
8742,25,232,8212,1,14,1,44,1,1,12,30000,HomeBusiness
9623,26,252,9151,2,15,1,45,1,1,9,17107,HomeBusiness
12773,35,349,13342,7,15,4,20,0,0,9,14586,HomeBusiness
21425,56,572,22555,7,15,2,29,0,1,3,16231,HomeBusiness
22343,60,597,23077,17,13,1,30,1,1,0,9600,FarmForestAqua
9383,26,248,8923,15,15,1,31,1,1,3,18996,HomeBusiness
14215,37,377,14704,4,14,2,23,1,0,12,28707,HomeBusiness
35484,94,942,31594,5,20,3,14,1,0,7,6075,FarmForestAqua
30256,82,816,28303,5,15,1,50,1,1,9,20101,Private
27203,75,731,26041,15,14,2,32,1,1,16,93215,Foreign
28565,79,764,26882,23,15,2,31,0,1,16,116955,Private
4831,12,111,3598,19,14,2,42,0,1,12,27720,StateRun
36291,95,959,31960,19,15,1,54,0,1,4,7882,FarmForestAqua
35975,95,954,31819,27,14,3,20,1,0,4,20069,HomeBusiness
28675,79,765,26938,32,19,4,34,1,1,9,48812,StateRun
24935,68,672,24781,41,14,2,36,0,1,16,40617,HomeBusiness
5878,17,148,4798,21,14,2,51,1,1,12,15482,Private
25747,70,693,25318,13,13,1,28,0,1,12,29339,StateRun
32709,87,873,30106,16,14,1,46,1,1,12,38109,StateRun
8024,24,217,7384,1,13,1,39,1,1,9,21850,HomeBusiness
25976,72,703,25465,30,15,1,55,0,0,9,16591,StateRun
2612,6,58,1840,1,13,3,37,1,1,9,7451,StateRun
9223,26,246,8789,8,13,3,18,0,0,10,10738,HomeBusiness
29550,80,794,27685,5,19,2,47,0,1,4,25587,HomeBusiness
18496,48,493,20272,9,13,2,64,1,1,9,6000,HomeBusiness
13555,36,363,14038,12,14,3,16,1,0,9,11621,HomeBusiness
22394,60,597,23098,4,14,1,37,1,1,8,18500,FarmForestAqua
