,Year,CodePro,province,lFDI,lFDI1,GDP,Skill,Wage,Entrycost,Landaccess,Transparency,Timecost,Informalcharge,LaborPolicy,Lawandorder,Participation,Transparent,Accountability,Corruption,Procedure,Provision,Export,Labor,GE,lGDP
384,2015,43,Quảng Trị,0.63598883,1.704748,21073.87,38.99857,1858.5,8.658856391906738,5.869941711425781,6.05679988861084,6.38896369934082,4.134520530700684,5.933521747589111,5.137199401855469,5.286868095397949,6.020316123962402,6.405369758605957,6.6902546882629395,6.7386956214904785,7.024518966674805,4275.675,349.7,6534.578970467,9.955789163401716
385,2016,43,Quảng Trị,1.609438,0.63598883,22693.285,40.38722,2044.0,8.968210220336914,6.253993511199951,6.32753849029541,6.701601982116699,4.774250030517578,6.200382709503174,5.755414009094238,5.965747833251953,6.079280853271484,5.481750965118408,6.559639930725098,7.108555793762207,6.8698883056640625,4823.91,348.9,6849.388044887999,10.02982434472964
386,2017,43,Quảng Trị,1.609438,1.609438,23837.399999999998,42.51361,2229.5,8.02669906616211,6.048230171203613,6.5870819091796875,6.305891990661621,4.157803535461426,6.227537155151367,5.393890857696533,5.614871025085449,5.920825958251953,5.512510299682617,6.321844100952148,6.888320446014404,7.375097274780273,6060.673,349.7,5208.266,10.079011054829083
389,2011,44,Sóc Trăng,0.0,0.33647224,37406.40625,13.435936,1176.5,8.703203,7.949325,5.30601,8.256913,8.402487,4.325097,6.481685,4.899919,4.922166,5.152213,6.944393,6.575285,6.635262,10201.975,744.1,5059.091380823999,10.5295972588411
390,2012,44,Sóc Trăng,0.33647224,0.0,36631.304,15.456832,1324.0,7.993115,7.021639,5.982159,5.010087,7.350265,4.060686,4.549185,4.578633,5.200961,5.916937,7.0054,6.424181,6.74466,8738.185,749.4,6454.982235549,10.508658454374821
391,2013,44,Sóc Trăng,1.8718022,0.33647224,40162.332,24.151173,1618.5,7.849459,6.310468,5.389847,7.125491,7.803025,5.362848,5.451324,4.578633,5.200961,5.916937,7.0054,6.424181,6.74466,10956.808,729.3,7177.7207213950005,10.60068482040883
392,2014,44,Sóc Trăng,4.2629476,1.8718022,45153.861,19.439795,1913.0,8.714098930358887,6.506464004516602,5.602706432342529,7.817840576171875,5.800253868103027,4.738285541534424,6.9602580070495605,4.647972,5.447761,5.750111,6.679101,6.425196,6.829839,14044.178,699.6,7977.4532383430005,10.717831070139102
393,2015,44,Sóc Trăng,2.6390574,4.2629476,37486.232,18.4291,2230.5,8.827139854431152,7.019670486450195,6.334892272949219,8.021066665649414,7.116338729858398,4.66242790222168,5.799625873565674,4.8876633644104,5.230877876281738,5.1611833572387695,6.590387344360352,6.441770553588867,6.957911491394043,11999.249999999998,704.1,9178.584195557,10.531728997876996
394,2016,44,Sóc Trăng,1.7917595,2.6390574,40507.712,18.062773,2548.0,8.551095962524414,6.812411785125732,6.300261974334717,8.429039001464844,6.468341827392578,5.330507278442383,6.520040512084961,5.044724941253662,4.821594715118408,5.213624000549316,5.754441261291504,7.434505939483643,7.210567951202393,15115.555,712.1,9310.103301696,10.609247654720177
395,2017,44,Sóc Trăng,3.0445225,1.7917595,44686.2,18.35513,2865.5,8.249074935913086,7.26204776763916,6.284082889556885,7.826432228088379,6.835931777954102,5.304603576660156,6.026577949523926,4.802816390991211,4.988207817077637,4.656715393066406,6.446083068847656,7.156459808349609,7.0535993576049805,16683.365,723.2,7089.634,10.707420008104124
398,2011,45,Sơn La,1.3350011,0.0,19056.189453125,20.115175,911.0,7.973938,7.017448,4.579753,5.713696,5.452503,4.515756,5.267113,6.642126,6.536399,5.843012,6.682519,6.684669,6.828486,135.8861,684.0,7607.393792895001,9.855147233460281
399,2012,45,Sơn La,0.0,1.3350011,20957.77,19.467829,1020.0,8.550735,6.739409,6.906107,4.28065,6.851429,5.212543,3.891498,5.272914,5.901819,6.152543,6.370084,7.067453,6.433158,121.6472,710.9,9930.132644927,9.950264739645057
400,2013,45,Sơn La,3.9156165,0.0,24104.030000000002,19.127182,1099.0,6.103036,6.385507,5.176348,5.205887,5.708592,4.799709,5.257028,5.272914,5.901819,6.152543,6.370084,7.067453,6.433158,283.373,721.8,10712.384876254,10.090134325416066
401,2014,45,Sơn La,3.912023,3.9156165,28088.329999999998,20.638628,1178.0,8.289514541625977,5.534274578094482,5.225259780883789,5.88042688369751,5.012660980224609,5.439194202423096,5.482545852661133,4.789366,5.664955,5.689134,6.026382,6.636449,6.236675,2000.9,734.7,11445.517154638002,10.24310946656877
402,2015,45,Sơn La,0.0,3.912023,27861.15,18.99753,1233.0,8.336949348449707,6.276434421539307,5.86029577255249,6.3469061851501465,4.999290466308594,4.710237503051758,5.5113019943237305,4.807587623596191,5.2425971031188965,5.964962959289551,5.86817741394043,6.763147830963135,6.862573623657227,1871.775,753.1,12610.925429059998,10.23498852429955
403,2016,45,Sơn La,0.0,0.0,29979.01,21.238146,1288.0,8.528802871704102,5.3968729972839355,5.840981483459473,7.0231122970581055,4.922901153564453,4.903994083404541,4.857593059539795,5.482930660247803,5.477869510650635,4.52793550491333,6.128231525421143,7.104684829711914,6.827014446258545,835.38,750.8,12702.156209433999,10.308252749096674
404,2017,45,Sơn La,2.781108,0.0,33394.128600000004,24.070566,1343.0,7.405378341674805,5.2513427734375,6.409369945526123,5.89302921295166,5.399203777313232,5.3158488273620605,5.944278717041016,5.350473403930664,5.4559783935546875,5.139862060546875,6.081858158111572,6.935006141662598,6.666813373565674,213.607,755.6,9450.607,10.416135373092683
407,2011,46,TP.Hồ Chí Minh,8.05376,7.6586995,512720.99999999994,54.913425,3195.0,8.271185,6.11533,6.283947,5.983446,7.223296,5.770319,5.887481,5.143024,6.005712,5.240344,6.147952,7.080636,7.148072,592793.6455,4000.9,49045.314921786,13.147487116558482
408,2012,46,TP.Hồ Chí Minh,7.2011704,8.05376,658898.0,53.425644,3653.0,8.430178,6.173732,6.257782,6.407512,6.666519,5.815679,4.219378,4.742527,5.798257,5.144074,6.367458,7.075529,7.517297,588897.428,4086.4,53655.390841884,13.398324021535338
409,2013,46,TP.Hồ Chí Minh,7.5929265,7.2011704,763956.0,59.945175,4246.5,7.011456,6.429799,5.639112,5.938195,6.005553,6.217457,4.945063,4.742527,5.798257,5.144074,6.367458,7.075529,7.517297,628922.847,4122.3,52170.00869851199,13.546265474867159
